,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
522,Monitoring and Evaluation Specialist (Contract Position),International Center for Journalists (ICFJ),"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0c66c2f623f72dc6,NaN,indeed,5.0
523,Paralegal III,Time Warner,"New York, NY",2018-11-09 17:39:08,https://www.indeed.com/viewjob?jk=ff0bdcadb4ddec3c,NaN,indeed,2.0
524,"Director, Financial Planning & Analysis",Time Warner,"New York, NY",2018-11-02 17:39:08,https://www.indeed.com/viewjob?jk=5e536c0cd062a744,NaN,indeed,2.0
525,Marketing Specialist,Webasto Roof Systems Inc,"Monrovia, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3ada8d6aa7cf9e29,NaN,indeed,NaN
526,Digital Community Engagement Producer,Chicago Public Media,"Chicago, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=eab9b2810d69c3b8,NaN,indeed,NaN
527,Manager Issues Crisis M/F,"Parks, Experiences and Consumer Products","Spotswood, NJ",2018-10-30 17:39:10,https://www.indeed.com/viewjob?jk=b707e4909f75b91f,NaN,indeed,NaN
528,Senior Account Executive,Media Zoo,United States,2018-10-25 17:39:10,https://www.indeed.com/viewjob?jk=4dbc21c863f044f2,NaN,indeed,NaN
529,Senior Director of Communications,American Heart Association,"Houston, TX 77007 (Rice Military area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fb65c7035cba7591,NaN,indeed,NaN
530,Assistant News Director,TEGNA,"St. Louis, MO",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2a79a084070cb61f,NaN,indeed,NaN
531,KTNV Assistant News Director,The E.W. Scripps Company,"Las Vegas, NV 89102 (Rancho Charleston area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=961627408541a688,NaN,indeed,NaN
532,Weekend Digital Editor,Circa,"Arlington, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=de183d19725e1f3b,NaN,indeed,7.0
533,Senior Analyst,Forrester,"Cambridge, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4450eeaee33b7d7e,NaN,indeed,NaN
534,Public Relations Associate,Oregon Food Bank Inc,"Portland, OR 97211 (Concordia area)",2018-11-09 17:39:11,https://www.indeed.com/viewjob?jk=62f8b41edc67ef94,NaN,indeed,2.0
535,Communication Specialist-Data & Analytics/Insights Storyteller (Photshop Exp.),Universal Music Group,"Santa Monica, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e746f75ee844f790,NaN,indeed,8.0
536,Senior Publicist,Boston Symphony Orchestra,"Boston, MA 02115 (Fenway-Kenmore area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ba4e55e303c9679c,NaN,indeed,NaN
537,Public Relations Specialist,Harvard University,"Cambridge, MA",2018-10-26 17:39:11,https://www.indeed.com/viewjob?jk=ce4875ef66e4855d,NaN,indeed,NaN
538,"Market Reporter, Metals",Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e424d2c0a435593f,NaN,indeed,4.0
539,"Director, Content Strategy",Babson College,"Babson Park, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0843da7e90c343d6,NaN,indeed,1.0
540,Foster Professor of Writing and Editing,Penn State University,"University Park, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c4e14c092e8739e9,NaN,indeed,NaN
541,Conference Marketing Coordinator,Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",2018-11-07 17:39:13,https://www.indeed.com/viewjob?jk=cc95ca869ea22d9f,NaN,indeed,5.0
542,Spring Intern: Open Source Policy Center,American Enterprise Institute,"Washington, DC 20036 (Downtown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5fe3d2af38b6c9d1,NaN,indeed,3.0
543,"Communications Manager, Ads Policy",Google,"New York, NY 10011 (Chelsea area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=38f5f290bc986231,NaN,indeed,NaN
544,Content Strategist,Guidepoint Global,"New York, NY 10017 (Midtown area)",2018-10-15 17:39:13,https://www.indeed.com/viewjob?jk=32b39b4dfe77c8d9,NaN,indeed,1.0
545,Chief Marketing Officer (CHI #1718-82),American Lung Association,"Chicago, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=031e64f8bd1e88b9,NaN,indeed,NaN
546,CONTENT CURATOR & EDITOR (MARKETING DIVISION),Sunrise Banks,"Saint Paul, MN",2018-11-06 17:39:15,https://www.indeed.com/viewjob?jk=135e02ecd7e92ec0,NaN,indeed,NaN
547,Experienced MMJ/Anchor,Nexstar Broadcasting,"Bakersfield, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0e247244fa062b42,NaN,indeed,NaN
548,"Editor, Banking News",S&P GLOBAL MARKET INTELLIGENCE,"Arlington, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=efaeafe7c3da88a7,NaN,indeed,3.0
549,"Sr. Analyst, Media & Consumer Insights",LendingTree,"Charlotte, NC 28277 (Piper Glen Estates area)",2018-11-03 17:39:15,https://www.indeed.com/viewjob?jk=b1988656b8079078,NaN,indeed,3.0
550,ADAS Engineer II,Mazda North American Operations,"Irvine, CA",2018-10-26 17:39:15,https://www.indeed.com/viewjob?jk=7a5d13e675aeb645,NaN,indeed,5.0
551,Media Relations Specialist,Motif Investing,"San Mateo, CA 94402 (Beresford area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b150993f2dffd68a,NaN,indeed,NaN
552,News Director,Nexstar Broadcasting,"Farmersburg, IN",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=05bc4d23989b4262,NaN,indeed,NaN
553,Editorial Lead,Wealthfront,"Redwood City, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3b6cbde29449ac30,NaN,indeed,2.0
554,"Producer, CNE (WIRED)",Conde Nast,"New York, NY 10007 (Financial District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=50c9ba06dc793de0,NaN,indeed,NaN
555,Executive Communciations Director,"Samsung Semiconductor, Inc.","Menlo Park, CA",2018-11-07 17:39:17,https://www.indeed.com/viewjob?jk=33fad710836c8390,NaN,indeed,NaN
556,Associate Front Matter Editor,The National Academies,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=abf4c46aab0eadf8,NaN,indeed,NaN
557,"Sr. Connections Planner, Social",Edelman,"New York, NY",2018-10-18 17:39:17,https://www.indeed.com/viewjob?jk=94ab1a2e13751983,NaN,indeed,3.0
558,"ARTS ENGAGEMENT PRODUCER, WBUR Program & Production",Boston University,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=aca553d753d8fdad,NaN,indeed,1.0
559,REGIONAL VOLUNTEER COORDIATOR - SOUTH REGION,Dept. of Juvenile Justice,Georgia,2018-11-09 17:39:17,https://www.indeed.com/viewjob?jk=0600e318ca2bfec1,NaN,indeed,NaN
560,"Communications Manager, Product",Uber,"San Francisco, CA 94103 (South Of Market area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dbc3a8a791205551,NaN,indeed,NaN
561,Communications and PR Manager,Scaleapi,"San Francisco, CA",2018-10-28 17:39:18,https://www.indeed.com/viewjob?jk=e9487964ec74ac4e,NaN,indeed,1.0
562,Producer,Univision communications inc,"San Antonio, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d25255c60c98af16,NaN,indeed,NaN
563,"Regional Vice President, West Coast",Warner Music Group,"Culver City, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=6366499dc7b2d78d,NaN,indeed,NaN
564,Communications Intern - Family Care Business,Procter & Gamble,"Cincinnati, OH 45249",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fbed393f45088e72,NaN,indeed,NaN
565,Spring 2019 CNN Intern - DC BEST,Time Warner,"Washington, DC",2018-10-27 17:39:18,https://www.indeed.com/viewjob?jk=633b68201749b580,NaN,indeed,NaN
566,"Segment Producer, Meet The Press Daily",NBCUniversal,"Washington, DC",2018-10-20 17:39:18,https://www.indeed.com/viewjob?jk=5a24992120e5f90d,NaN,indeed,NaN
567,Spring Media Research Intern,Save the Children,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=562f3ae8b5f4df61,NaN,indeed,2.0
568,Financial Enterprise Editor,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2545ee0703b977fd,NaN,indeed,NaN
569,Psychological Operations Specialist (37F),U.S. Army,United States,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3bda235efbe5045d,NaN,indeed,NaN
570,News Director,Tribune Media Company,"Indianapolis, IN",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cc28516407aaa5d1,NaN,indeed,NaN
571,Marketing Manager,Flex-n-Gate,"Urbana, IL",2018-10-20 17:39:20,https://www.indeed.com/viewjob?jk=36dfe010b8c20a2b,NaN,indeed,NaN
572,"Data Engineer, Newsroom",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-11-09 17:39:20,https://www.indeed.com/viewjob?jk=009ee0f1f1d71151,NaN,indeed,22.0
573,Sr Quantitative User Researcher,Bose,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e1580d532f41ea1a,NaN,indeed,2.0
574,News Editor (Commercial Real Estate),CoStar Group,"Washington, DC 20005 (Logan Circle area)",2018-11-03 17:39:20,https://www.indeed.com/viewjob?jk=3b1333dd507c1939,NaN,indeed,5.0
575,VP of Marketing,Arctic Wolf,"Sunnyvale, CA",2018-10-29 17:39:20,https://www.indeed.com/viewjob?jk=599de7743c63994b,NaN,indeed,NaN
576,Freelance Northeast Bureau Field Producer,Fox News Channel,"New York, NY 10036",2018-11-07 17:39:20,https://www.indeed.com/viewjob?jk=a59d1bb41cabb9ca,NaN,indeed,NaN
577,Digital PR & Outreach Specialist,The Motley Fool,"Lakewood, CO",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fe19927ca990e669,NaN,indeed,1.0
578,"Supervisor, Public Affairs",Maryland Courts,"Annapolis, MD",2018-11-01 17:39:22,https://www.indeed.com/viewjob?jk=76fd5a6013d21360,NaN,indeed,NaN
579,Public Relations Specialist,"Liquidity Services, Inc.","Bethesda, MD",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a122a6725114e498,NaN,indeed,NaN
580,Digital Senior Editor,WETA,"Washington, DC 20006 (Foggy Bottom area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c66de1bcbbafc89a,NaN,indeed,1.0
581,"Director, Civic & Campus Engagement",The University of Chicago,"Chicago, IL",2018-10-31 17:39:22,https://www.indeed.com/viewjob?jk=e6effa7341ff751f,NaN,indeed,3.0
582,"Senior Copywriter & Communications Strategist, Education Studio",IDEO,"San Francisco, CA",2018-11-11 17:39:22,https://www.indeed.com/viewjob?jk=cd0f281a89b97f7e,NaN,indeed,NaN
583,"Senior Associate, Communications",Sabin Vaccine Institute,"Washington, DC",2018-10-22 17:39:24,https://www.indeed.com/viewjob?jk=aa2feef5ea174292,NaN,indeed,NaN
584,Sr. Staff Reporter - Federal Times,Sightline Media Group,"Washington, DC",2018-10-24 17:39:24,https://www.indeed.com/viewjob?jk=c14f466664ff0ff7,NaN,indeed,NaN
585,Investigative Reporter,TEGNA,"Austin, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=8b44a24dba841473,NaN,indeed,2.0
586,"Sr Manager, Geographic Visualization",National Geographic Society,"Washington, DC",2018-10-31 17:39:24,https://www.indeed.com/viewjob?jk=134c4e47b28ce663,NaN,indeed,12.0
587,Account Executive - Corporate,Edelman,"Atlanta, GA",2018-10-27 17:39:24,https://www.indeed.com/viewjob?jk=8a87bd68feb0fa86,NaN,indeed,NaN
588,Enterprise Editor,Times-News,"Twin Falls, ID 83301",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=94b8bdcae1eeaf7c,NaN,indeed,NaN
589,"Manager, Corporate Series Communications",Netflix,"Los Angeles, CA",2018-10-21 17:39:24,https://www.indeed.com/viewjob?jk=f1b22762dddc6d65,NaN,indeed,NaN
590,WAMU Spring 2019 Internship Program,American University,"Washington, DC 20016 (AU-Tenleytown area)",2018-10-26 17:39:25,https://www.indeed.com/viewjob?jk=f99c8ed9745414e6,NaN,indeed,2.0
591,Managing Director of Communications,Change.org,"New York, NY 10038 (Financial District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=381273a0a45913f8,NaN,indeed,NaN
592,"Product Manager, Newsletters",Digital First Media,"San Jose, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b9bbbbf005e80e2c,NaN,indeed,1.0
593,AVP MEDIA & PUBLIC RELATIONS,Care.org,"New York, NY",2018-10-19 17:39:25,https://www.indeed.com/viewjob?jk=61c6200d5953efd5,NaN,indeed,NaN
594,"Product Director (Editorial Emails, Newsletters & Messaging)",The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5de6c4b948c95e70,NaN,indeed,2.0
595,Executive Producer,Circa,"Arlington, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=43f78e5deca41673,NaN,indeed,NaN
596,Anti-Spam Anti-Abuse Engineer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d61e656d7d5302b1,NaN,indeed,2.0
597,Communications and Marketing Coordinator,Academic Innovations,"Saint George, UT 84770",2018-10-17 17:39:27,https://www.indeed.com/viewjob?jk=d2290ce61e6107c2,NaN,indeed,2.0
598,"Program Coordinator, Global Alliance for Trade Facilitation",Center for International Private Enterprise,"Washington, DC",2018-10-18 17:39:27,https://www.indeed.com/viewjob?jk=fa3eb4251c6d6b8d,NaN,indeed,NaN
599,"Adjunct, Journalism (South Campus)",Broward College,"Davie, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=541dcfb9021c459e,NaN,indeed,NaN
600,Weekend Anchor/Producer/Reporter,Nexstar Broadcasting,"Mount Pleasant, SC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=63ce3efb9f9babab,NaN,indeed,NaN
601,News Producer,Univision communications inc,"Chicago, IL",2018-11-12 17:39:29,https://www.indeed.com/viewjob?jk=aa916b661dcdad93,NaN,indeed,1.0
602,Chief Technology Officer,Redhorse Corporation,"Boston, MA 02128 (East Boston area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f0ade27103af7f8d,NaN,indeed,NaN
603,Content Manager Assistant Internship,Applied Memetics LLC,"Miami, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ee89143b092d84a6,NaN,indeed,NaN
604,"Associate Director, R&D Communications",Bristol-Myers Squibb,"Princeton, NJ 08541",2018-10-19 17:39:29,https://www.indeed.com/viewjob?jk=101accb24165eba2,NaN,indeed,NaN
605,Digital Video and Broadcast Editor,NBCUniversal,"Hartford, CT",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=baf95bb4f1d08c79,NaN,indeed,NaN
606,"Senior Manager, External Communications",Susan G. Komen for the Cure,"Dallas, TX",2018-10-23 17:39:29,https://www.indeed.com/viewjob?jk=f6634626d195fa74,NaN,indeed,NaN
607,"Senior Broadcast Writer, CNN International",Time Warner,"Atlanta, GA",2018-10-27 17:39:29,https://www.indeed.com/viewjob?jk=501e7c1521288e78,NaN,indeed,NaN
608,WFTX Managing Editor,The E.W. Scripps Company,"Fort Myers, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e1a5f5114d394f8d,NaN,indeed,NaN
609,"Social Media Editor, Digital News",NPR,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c89f847ef4b3b006,NaN,indeed,NaN
610,Applied Cryptography Engineer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=20c4ead74c3f5601,NaN,indeed,1.0
611,"Head of Labs, New York",WeWork,"New York, NY 10011 (Chelsea area)",2018-10-30 17:39:31,https://www.indeed.com/viewjob?jk=5b92d5ef945b087f,NaN,indeed,NaN
612,Public Relations & Social Media Manager,"Mentormate, Inc.","Minneapolis, MN 55408 (Calhoun area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=19a87e7ce4fea968,NaN,indeed,NaN
613,Documentary Producer,Spectrum,"Austin, TX 78704 (South Lamar-South Congress area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cbc46d2e419296e8,NaN,indeed,NaN
614,Training Director,University of MO-Columbia,"Columbia, MO",2018-10-24 17:39:31,https://www.indeed.com/viewjob?jk=7234dfb76449cfd3,NaN,indeed,4.0
615,"Vice President, Media Strategist",Marina Maher Communications,"New York, NY 10022 (Midtown area)",2018-11-03 17:39:31,https://www.indeed.com/viewjob?jk=98110b03eddc6e19,NaN,indeed,1.0
616,Audience Engagement Producer,Dallas Morning News,"Dallas, TX 75201 (City Center District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e696c04851912c39,NaN,indeed,NaN
617,Technology Editor,Air Force Association,"Arlington, VA 22201 (Lyon Village area)",2018-10-31 17:39:32,https://www.indeed.com/viewjob?jk=f55350ecba03b12f,NaN,indeed,NaN
618,Senior Communications Manager,Intuit,"Mountain View, CA 94039",2018-10-23 17:39:32,https://www.indeed.com/viewjob?jk=840c8450322f4401,NaN,indeed,1.0
619,"Director, Global External Communications",Globoforce Limited,"Framingham, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bd49dab06661e100,NaN,indeed,NaN
620,Public Relations & Marketing Intern – spring,Development Counsellors International,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1fd10e013122c205,NaN,indeed,NaN
621,Senior Audience Development Strategist,Al Jazeera Media Network,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=62be24e7842fd541,NaN,indeed,12.0
622,Newsroom App Developer,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d7c6482502ebe237,NaN,indeed,NaN
623,Northeast Bureau Field Producer,Fox News Channel,"New York, NY 10036",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3681400ac0d26372,NaN,indeed,NaN
624,Producer/Reporter,University of Arizona,"Tucson, AZ",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=066e2564affad419,NaN,indeed,NaN
625,Senior Air Quality Scientist,Environmental Defense Fund,"Austin, TX",2018-10-26 17:39:34,https://www.indeed.com/viewjob?jk=f792f38285397760,NaN,indeed,3.0
626,Director of Marketing,Back Yard Burgers,"Nashville, TN 37219",2018-10-25 17:39:34,https://www.indeed.com/viewjob?jk=7384c7c443971049,NaN,indeed,1.0
627,Corporate Communications Director,Hannon Armstrong,"Annapolis, MD",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a7577e9539c27bd6,NaN,indeed,1.0
628,Producer - AM News,Univision communications inc,"San Antonio, TX",2018-11-06 17:39:34,https://www.indeed.com/viewjob?jk=183b9e9d46e543ce,NaN,indeed,NaN
629,"Senior Vice President, Social Strategy",Edelman,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b51edb832ecd5dc3,NaN,indeed,1.0
630,"Software Engineer, User Messaging",The New York Times,"New York, NY",2018-11-10 17:39:34,https://www.indeed.com/viewjob?jk=b861b8aa62c138db,NaN,indeed,NaN
631,"Engagement Editor, Digital News",NPR,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=b6b8e8ac12ae6c59,NaN,indeed,NaN
632,PR Manager,Travel Leaders Group,"Alexandria, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=14422a51c5c4cea4,NaN,indeed,NaN
633,Social Media and Marketing Manager,PolySwarm,"San Diego, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a09a2dcf3a9acfd4,NaN,indeed,NaN
634,Content and Social Media Manager,Stanford University,"Stanford, CA 94305",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9670a9d437fb3c33,NaN,indeed,4.0
635,Project Manager,The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0053fb1049e7a588,NaN,indeed,3.0
636,Digital Content Producer/Sports Editor,Nexstar Broadcasting,"Austin, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=44a3951270cf8297,NaN,indeed,NaN
637,Senior Sales Director,MikMak,"New York, NY",2018-10-23 17:39:36,https://www.indeed.com/viewjob?jk=2a00d80008b89932,NaN,indeed,NaN
638,Story Maps Product Engineer,Esri,"Redlands, CA",2018-10-23 17:39:38,https://www.indeed.com/viewjob?jk=394b0bf2528be1d8,NaN,indeed,NaN
639,"Media Manager, Ravinia Festival",Ravinia Festival,"Highland Park, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=318e4bd9bf47e800,NaN,indeed,1.0
640,"Senior Communications Manager, Trello",Atlassian,"New York, NY",2018-10-31 17:39:38,https://www.indeed.com/viewjob?jk=91cf262c3f79056b,NaN,indeed,NaN
641,Digital Producer,Digital First Media,"Monrovia, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=8da2f7ab08df0414,NaN,indeed,1.0
642,"Adjunct Instructor, Spies Like Us: Operational Security and Tradecraft for Journalists",USC,"Los Angeles, CA",2018-10-27 17:39:38,https://www.indeed.com/viewjob?jk=d3c35cd2f024b644,NaN,indeed,NaN
643,Digital Media Content and Marketing Coordinator,D S Simon Media,"New York, NY 10018 (Clinton area)",2018-11-06 17:39:38,https://www.indeed.com/viewjob?jk=41904b852a197b10,NaN,indeed,NaN
644,Director of Forensics - Term Instructor,George Mason University,"Fairfax, VA",2018-11-07 17:39:38,https://www.indeed.com/viewjob?jk=1c795827832531eb,NaN,indeed,NaN
645,Data Science Engineer,IBM,United States,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ee860af5f2a10ed8,NaN,indeed,22.0
646,"Deputy Editor, WSJ Pro Artificial Intelligence",Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bb0ca718bd7944a0,NaN,indeed,1.0
647,Public Relations Specialist,Midwestern State University,"Wichita Falls, TX",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=785db6a1419cebc4,NaN,indeed,NaN
648,Marketing Automation Specialist (Marketo),Argus Media,"Houston, TX 77056 (Galleria-Uptown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=610b4b38c8565cc5,NaN,indeed,5.0
649,Head of Machine Learning,Redhorse Corporation,"Boston, MA 02128 (East Boston area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ecb7d85395f5820e,NaN,indeed,NaN
650,"Sr. Video Journalist, News & Analysis",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-19 17:39:40,https://www.indeed.com/viewjob?jk=8a1f61b8248c161c,NaN,indeed,NaN
651,"Communications Manager, Corporate",Uber,"San Francisco, CA 94103 (South Of Market area)",2018-10-23 17:39:40,https://www.indeed.com/viewjob?jk=f32f53646136f5d5,NaN,indeed,NaN
652,Public Relations Account Manager,Place. Staffing LLC,"Boston, MA",2018-11-12 17:39:40,https://www.indeed.com/viewjob?jk=f074dc038440ef44,NaN,indeed,NaN
653,Discovery Desk Editor,TEGNA,"Sacramento, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=19844a5d935bdca2,NaN,indeed,NaN
654,Outreach Specialist- Insurance,Clearlink,"Salt Lake City, UT",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=caaf1124b3d3555c,NaN,indeed,1.0
655,Faculty member Video/Broadcast,Northwestern University,"Evanston, IL",2018-10-23 17:39:40,https://www.indeed.com/viewjob?jk=c5df0c234ae9840f,NaN,indeed,NaN
656,"VP, Customer Markets, Communications",Thomson Reuters,"Carrollton, TX 75006",2018-11-08 17:39:40,https://www.indeed.com/viewjob?jk=c671c2dd0a4dff4d,NaN,indeed,NaN
657,"Jr. Content Marketer and Promoter (Harrisburg, PA)",WebpageFX,"Harrisburg, PA",2018-11-10 17:39:42,https://www.indeed.com/viewjob?jk=c06c820ef0c855a1,NaN,indeed,NaN
658,PUBLIC RELATIONS & COMMUNICATIONS MANAGER,Matthews Real Estate Investment Services,"Encino, CA",2018-11-07 17:39:42,https://www.indeed.com/viewjob?jk=091a2f802eb4ad5d,NaN,indeed,1.0
659,Public Relations Manager,LaunchSquad,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7fedc5eb622e419d,NaN,indeed,NaN
660,"Sr. Producer, Public Affairs",University of New Mexico,"Albuquerque, NM",2018-10-17 17:39:42,https://www.indeed.com/viewjob?jk=5ccd34367cf6f1c8,NaN,indeed,NaN
661,Digital Content Producer (PT),Entercom Communications Corp.,"Pittsburgh, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a2d0d49ca1bbf5be,NaN,indeed,NaN
662,"Editor in Charge, Alhurra Digital",Middle East Broadcasting Networks Inc.,"Springfield, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ccac24367517026f,NaN,indeed,NaN
663,Corporate Communications Manager,Scoot Networks,"San Francisco, CA 94103 (South Of Market area)",2018-10-26 17:39:44,https://www.indeed.com/viewjob?jk=0106bc4472abdca6,NaN,indeed,NaN
664,Communications Manager,Pac-12 Networks,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f0c9b77c51d0bfee,NaN,indeed,NaN
665,Culinary Programs Supervisor,City & County of San Francisco,"San Francisco, CA 94124 (Bayview area)",2018-10-27 17:39:44,https://www.indeed.com/viewjob?jk=fda35981ffc0321d,NaN,indeed,NaN
666,Senior Communications Officer,Relief International,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0a1f16bad043d86f,NaN,indeed,NaN
667,Database Engineer,Cloudflare,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5e1a30ea2818d3bc,NaN,indeed,6.0
668,Media Relations Manager,Citgo Petroleum Corporation,"Houston, TX 77056 (Galleria-Uptown area)",2018-10-18 17:39:44,https://www.indeed.com/viewjob?jk=591d7b816f2785fb,NaN,indeed,NaN
669,"Manager, Content Marketing",Hirshorn Zuckerman Design Grp,"Rockville, MD",2018-11-09 17:39:44,https://www.indeed.com/viewjob?jk=92b883d268bada3b,NaN,indeed,NaN
670,Head of Strategy,Redhorse Corporation,"San Francisco, CA 94108 (Financial District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a1f9a623f8b577b5,NaN,indeed,1.0
671,Director of Sales,Noble House Hotels and Resorts,"Fort Lauderdale, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3b75d2fad441a3c7,NaN,indeed,NaN
672,"Internal Communications Manager, Google Product Infrastructure",Google,"Mountain View, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bcf7a70736f8516a,NaN,indeed,NaN
673,Digital Video Editor,NBCUniversal,"Los Angeles, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e452d7a79936b617,NaN,indeed,NaN
674,"Center Director, Center for Collaborative Journalism",Mercer University,"Macon, GA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=371d9d40d91332d3,NaN,indeed,NaN
